Num,식품코드,,,FoodName,,,,Category,ServingSize,,Kcal,,,,Protein,Fat,Carbo,,,,,,,,,,,,,,,,,,,,,Natrium
171,D00171,,,크림소스스파게티,,,,면류,400,,837.57,,,,21.794,50.594,73.763,,,,,,,,,,,,,,,,,,,,,1030.21
172,D00172,,,토마토소스스파게티,,,,면류,500,,642.583,,,,24.349,19.152,93.204,,,,,,,,,,,,,,,,,,,,,1508.634
173,D00173,,,해물칼국수,,,,면류,900,,628.262,,,,22.803,4.605,123.901,,,,,,,,,,,,,,,,,,,,,2355.072
174,D00174,,,해물크림소스스파게티,,,,면류,500,,917.569,,,,30.394,49.789,86.973,,,,,,,,,,,,,,,,,,,,,1323.697
175,D00175,,,해물토마토소스스파게티,,,,면류,500,,584.438,,,,27.974,13.73,87.243,,,,,,,,,,,,,,,,,,,,,1533.156
176,D00176,,,회냉면,,,,면류,550,,629.983,,,,17.752,7.884,122.004,,,,,,,,,,,,,,,,,,,,,1517.815
177,D00177,,,고구마줄기나물,,,,무침류,50,,31,,,,0.8,1.9,2.6,,,,,,,,,,,,,,,,,,,,,264.62
178,D00178,,,골뱅이무침,,,,무침류,100,,108.792,,,,7.081,1.966,15.693,,,,,,,,,,,,,,,,,,,,,525.516
179,D00179,,,김무침,,,,무침류,30,,85.617,,,,2.718,3.61,10.564,,,,,,,,,,,,,,,,,,,,,491.988
180,D00180,,,노각무침,,,,무침류,150,,84,,,,2.6,1.8,14.3,,,,,,,,,,,,,,,,,,,,,817.37
181,D00181,,,단무지무침,,,,무침류,50,,20,,,,0.5,0.8,2.8,,,,,,,,,,,,,,,,,,,,,428.92
182,D00182,,,달래나물무침,,,,무침류,150,,136,,,,4,2.8,23.8,,,,,,,,,,,,,,,,,,,,,867.04
183,D00183,,,더덕무침,,,,무침류,150,,216,,,,4.3,2.8,43.4,,,,,,,,,,,,,,,,,,,,,1246.58
184,D00184,,,도라지생채,,,,무침류,150,,173,,,,3.4,2,35.3,,,,,,,,,,,,,,,,,,,,,790.74
185,D00185,,,도토리묵,,,,무침류,100,,45.598,,,,0.292,0.324,10.377,,,,,,,,,,,,,,,,,,,,,124.147
186,D00186,,,마늘쫑무침,,,,무침류,30,,39.563,,,,0.82,0.247,8.516,,,,,,,,,,,,,,,,,,,,,415.032
187,D00187,,,무말랭이무침,,,,무침류,30,,40.787,,,,0.976,0.3,8.545,,,,,,,,,,,,,,,,,,,,,384.615
188,D00188,,,무생채,,,,무침류,150,,79,,,,2.5,1.4,13.9,,,,,,,,,,,,,,,,,,,,,873.83
189,D00189,,,미역초무침,,,,무침류,50,,26,,,,1,0.4,4.5,,,,,,,,,,,,,,,,,,,,,298.13
190,D00190,,,밴댕이무침,,,,무침류,400,,600.01,,,,29.8,33,46,,,,,,,,,,,,,,,,,,,,,1027.23
191,D00191,,,부추무침,,,,무침류,200,,143,,,,5.7,5,18.8,,,,,,,,,,,,,,,,,,,,,1354.87
192,D00192,,,북어채무침,,,,무침류,150,,339,,,,29.7,6.8,39.6,,,,,,,,,,,,,,,,,,,,,1111.36
193,D00193,,,상추겉절이,,,,무침류,200,,136,,,,5,5.8,16,,,,,,,,,,,,,,,,,,,,,999.95
194,D00194,,,서대회무침,,,,무침류,300,,315.21,,,,22.6,4.6,45.9,,,,,,,,,,,,,,,,,,,,,1198.9
195,D00195,,,쑥갓나물무침,,,,무침류,150,,96,,,,4.5,5.7,6.6,,,,,,,,,,,,,,,,,,,,,709.99
196,D00196,,,오이생채,,,,무침류,50,,24,,,,0.8,0.4,4.1,,,,,,,,,,,,,,,,,,,,,251.18
197,D00197,,,오이지무침,,,,무침류,200,,144,,,,3,5.7,20.3,,,,,,,,,,,,,,,,,,,,,2259.56
198,D00198,,,우거지나물무침,,,,무침류,150,,129,,,,4.5,8.5,8.7,,,,,,,,,,,,,,,,,,,,,772.52
199,D00199,,,잡채,,,,무침류,150,,204.32,,,,2.053,4.527,38.842,,,,,,,,,,,,,,,,,,,,,658.954
200,D00200,,,쥐치채,,,,무침류,20,,55.917,,,,2.754,0.147,10.895,,,,,,,,,,,,,,,,,,,,,296.343
201,D00201,,,청포묵무침,,,,무침류,250,,149,,,,2.9,5.2,22.7,,,,,,,,,,,,,,,,,,,,,724.02
202,D00202,,,탕평채,,,,무침류,100,,97.496,,,,3.552,3.807,12.256,,,,,,,,,,,,,,,,,,,,,260.396
203,D00203,,,파래무침,,,,무침류,30,,34.509,,,,1.144,0.684,5.945,,,,,,,,,,,,,,,,,,,,,244.01
204,D00204,,,파무침,,,,무침류,150,,131,,,,3.2,5.2,17.8,,,,,,,,,,,,,,,,,,,,,679.07
205,D00205,,,홍어무침,,,,무침류,200,,198.937,,,,17.854,2.634,25.954,,,,,,,,,,,,,,,,,,,,,802.039
